D (V/nm),Iph (nA)
0.0989,19.0795
0.1174,19.1183
0.1358,19.5536
0.1543,20.2418
0.1727,24.1243
0.1912,37.2218
0.2096,72.2445
0.2281,157.4998
0.2465,327.3688
0.265,570.5414
0.2834,855.5536
0.3019,1145.7204
0.3203,1415.2666
0.3388,1647.6790
0.3572,1843.2986
0.3757,2030.2062
0.3941,2203.3000
0.4126,2350.3480
0.431,2457.7080
0.4495,2541.8140
0.468,2605.1960
0.4864,2626.8660
0.5049,2583.8120
0.5233,2501.0040
0.5418,2354.0880
0.5602,2215.6420
0.5787,2047.2870
0.5971,1893.3090
0.6156,1699.9488
0.634,1519.0670
0.6525,1340.9770
0.6709,1179.0328
0.6894,990.8008
0.7078,812.7988
0.7263,643.4032
0.7447,499.0502
0.7632,382.2852
0.7816,294.5470
0.8001,234.1504
0.8185,198.5148
0.837,174.2209
