D (V/nm),Iph (nA)
0.0989,29.3788
0.1081,29.4545
0.1174,29.8595
0.1266,29.5660
0.1358,29.7959
0.145,32.3149
0.1543,35.5384
0.1635,36.9798
0.1727,38.8364
0.1819,41.1708
0.1912,43.5338
0.2004,46.4609
0.2096,50.4425
0.2188,51.3031
0.2281,54.1743
0.2373,58.4672
0.2465,63.4748
0.2558,65.6669
0.265,68.2449
0.2742,74.5340
0.2834,79.4708
0.2927,87.1578
0.3019,94.5639
0.3111,100.6027
0.3203,110.0425
0.3296,117.9708
0.3388,124.4371
0.348,134.0112
0.3572,140.0773
0.3665,148.9882
0.3757,157.5218
0.3849,163.2734
0.3941,171.4458
0.4034,178.9110
0.4126,185.4439
0.4218,196.6232
0.4311,205.8643
0.4403,211.8303
0.4495,220.0044
0.4587,223.9754
0.468,225.9004
